;Brand;Model;YearMonth;cleaned_Price;Price_Eval;Kilometer;Gear_Type;Fuel_Type;Consumption;CO2_g_km;Power_PS;Price_per_km;Fuel_Cost_per_100km;Annual_Fuel_Cost;CO2_per_year;CO2_Emission_Category
100;Volkswagen;Caddy;2014-09-01;11950.0;Sehr guter Preis;85136.0;Schaltgetriebe;Diesel;5.7;149.0;102.0;0.14036365344859988;9.405;1740.63;2757.61;True
101;Mercedes-Benz;E 220;2010-05-01;6999.0;Fairer Preis;269267.0;Automatik;Diesel;6.2;163.0;170.0;0.025992787827695187;10.23;1893.31;3016.72;True
102;Mercedes-Benz;C 220;2014-09-01;14990.0;Keine Information;149919.0;Automatik;Diesel;4.3;114.0;170.0;0.09998732648963773;7.095;1313.1;2109.85;True
103;Ford;Kuga;2017-01-01;8650.0;Sehr guter Preis;139693.0;Schaltgetriebe;Benzin;;;150.0;0.061921499287723794;;;;True
104;Porsche;Panamera;2013-05-01;27850.0;Guter Preis;163000.0;Automatik;Benzin;10.8;254.0;400.0;0.17085889570552149;19.116000000000003;3537.89;4700.89;False
105;Mitsubishi;Space Star;2019-03-01;5450.0;Sehr guter Preis;70200.0;Schaltgetriebe;Benzin;4.2;96.0;71.0;0.07763532763532764;7.434;1375.84;1776.72;True
106;Audi;A8;2011-04-01;24999.0;Sehr guter Preis;64900.0;Automatik;Diesel;;;250.0;0.38519260400616334;;;;True
107;Mazda;MX-5;2013-04-01;10490.0;Sehr guter Preis;135760.0;Schaltgetriebe;Benzin;;;126.0;0.07726870948733058;;;;True
108;BMW;118;2015-03-01;9799.0;Guter Preis;140636.0;Schaltgetriebe;Benzin;5.7;135.0;136.0;0.06967632754060127;10.089;1867.22;2498.51;True
109;Toyota;Verso-S;2014-09-01;9490.0;Sehr guter Preis;83300.0;Automatik;Benzin;5.2;120.0;101.0;0.11392557022809123;9.204;1703.43;2220.89;True
110;Chevrolet;Orlando;2012-02-01;3990.0;Guter Preis;369014.0;Automatik;Diesel;5.3;186.0;163.0;0.010812597896014785;8.745;1618.48;3442.39;True
111;Nissan;NV200;2014-03-01;7990.0;Sehr guter Preis;154332.0;Schaltgetriebe;Diesel;5.5;146.0;110.0;0.05177150558536143;9.075;1679.55;2702.09;True
112;BMW;320;2013-03-01;15700.0;Guter Preis;84318.0;Automatik;Diesel;;;184.0;0.18619986242557934;;;;True
113;Renault;Clio;2014-03-01;4990.0;Fairer Preis;160794.0;Schaltgetriebe;Benzin;4.5;107.0;90.0;0.03103349627473662;7.965;1474.12;1980.3;True
114;Volkswagen;Touran;2012-09-01;9890.0;Fairer Preis;184000.0;Automatik;Diesel;5.2;135.0;140.0;0.05375;8.58;1587.94;2498.51;True
115;Mazda;2;2013-04-01;5500.0;Guter Preis;156450.0;Schaltgetriebe;Benzin;5.8;137.0;102.0;0.03515500159795462;10.266;1899.98;2535.52;True
