brand,model,car_info,user_text,price,price_evaluation,kilometer,gear,date,fuel,power,consumption,co2
Volkswagen,Tiguan,1.4 TSI SOUND+1.HAND+NAVIGATION+AHK schw.,,19990,Fairer Preis,84368,,07/2017,Benzin,150,,
Skoda,Kodiaq,2.0 TSI Style 4x4 DSG LED Navi ACC,,27950,Fairer Preis,81402,,02/2018,Benzin,179,,
BMW,X3,xDrive28i 1.HAND XENON NAVI LEDER MEMORY SHZ,,18490,Ohne Bewertung,119800,,06/2014,Benzin,245,,
Volkswagen,Tiguan,TIGUAN 2.0 TSI DSG|ALLRAD|HIGHLINE|VIRTUAL|PANO|,,21990,Erhöhter Preis,120000,,11/2016,Benzin,179,,
Mercedes-Benz,GLC 300,4Matic AMG Kamera Burmeister Sitzklima,,32980,Guter Preis,58200,,02/2019,Benzin,245,,
Volkswagen,T-Roc,T-ROC 2.0 TSI DSG|SPORT|ALLRAD|VIRTUAL|PANO|AHK|,,23990,Erhöhter Preis,100000,,01/2018,Benzin,190,,
Fiat,500X,1.4 140PS Lounge Automatik Pano Navi 1.Hand,,15749,Fairer Preis,69939,,03/2016,Benzin,140,,
Volkswagen,Tiguan,2.0 TSI 4M DSG Highline *Pano*AHK*Kamera*,,24475,Fairer Preis,78000,,05/2017,Benzin,220,,
BMW,X1,xDrive 20i Sport Line LED Navi Tempomat PDC,,22990,Erhöhter Preis,79588,,11/2016,Benzin,192,,
Mercedes-Benz,GLA 180,*LEDER*BI-XENON*NAVI*PDC*STYLE*,,20990,Fairer Preis,92000,,02/2017,Benzin,122,,
Volkswagen,Tiguan,1.4TSI Comfortline Navi,,17960,Erhöhter Preis,94500,,05/2017,Benzin,125,,
Volvo,XC60,Momentum AWD*AHK*NAVIGATION*2.HAND,,19900,Guter Preis,112812,,11/2015,Diesel,190,,
Mercedes-Benz,GLA 250,4Matic Vollleder/Pano/Elektr.Heck,,22199,Fairer Preis,73340,,11/2015,Benzin,211,,
Mercedes-Benz,GLC 250,4Matic Garantie*LED*Navi*2-Zonen-Klima*,,24900,Fairer Preis,109943,,09/2016,Benzin,211,,
Volkswagen,Tiguan,Sound 1.4 TSI *schw.AHK*Sorglos*,,17999,Fairer Preis,91213,,05/2017,Benzin,125,,
BMW,X1,xDrive20i Sport Line Automatik*Leder*Navi*PDC,,20999,Guter Preis,91000,,05/2017,Benzin,192,,
Volkswagen,Tiguan,1.4 TSI DSG BMT / NAVI-DM / TEMPOMAT /,,16444,Fairer Preis,77000,,09/2015,Benzin,150,,
Mercedes-Benz,GLA 250,", AMG LINE, PANORAMA, 7G, KEYLESS GO",,21990,Fairer Preis,119000,,12/2015,Benzin,211,,
Volkswagen,Tiguan,4M*SOUND*R-LINE*LED-R.KAM-ACC-PANO-AHK,,23380,Erhöhter Preis,101620,,02/2018,Benzin,150,,
Mercedes-Benz,GLA 180,URBAN+SCORE+BI-XENON+SHZ+LORDOSE+PARKTR.,,17787,Guter Preis,88815,,03/2016,Benzin,122,,
