;Unnamed: 0;Brand;Model;YearMonth;cleaned_Price;Kilometer;Gear_Type;Fuel_Type;Consumption;CO2_g_km;Power_PS;Price_per_km;Fuel_Cost_per_100km;Annual_Fuel_Cost;CO2_per_year;CO2_Emission_Category;Marketplace;log_cleaned_price;log_price_per_km;log_CO2_Emission;log_CO2_per_year;car_age
82;82;BMW;X1;2013-09-01;9990.0;209900.0;Automatik;Diesel;4.9;130.0;184.0;0.05;8.085;1496.33;2405.97;True;Autoscout24.de;9.20943996673302;0.048790164169432;4.875197323201151;7.7861239740577055;11.342465753424657
83;83;Mercedes-Benz;B 200;2012-05-01;7790.0;240000.0;Automatik;Diesel;4.4;117.0;136.0;0.03;7.26;1343.64;2165.37;True;Autoscout24.de;8.960724500330858;0.0295588022415444;4.770684624465665;7.680808234763876;12.67945205479452
84;84;Jeep;Renegade;2015-04-01;9990.0;146776.0;Schaltgetriebe;Benzin;6.0;142.0;140.0;0.07;10.62;1965.49;2628.06;True;Autoscout24.de;9.20943996673302;0.0676586484738148;4.962844630259907;7.874381646835373;9.761643835616438
85;85;BMW;X3;2013-05-01;12499.0;198500.0;Schaltgetriebe;Diesel;5.6;;184.0;0.06;9.239999999999998;1710.09;;True;Autoscout24.de;9.433483923290392;0.0582689081239757;;;11.67945205479452
86;86;Opel;Cascada;2014-04-01;9900.0;127433.0;Automatik;Benzin;7.2;171.0;170.0;0.08;12.744;2358.59;3164.77;True;Autoscout24.de;9.200391041122517;0.0769610411361283;5.147494476813453;8.060151590929019;10.761643835616438
87;87;Mercedes-Benz;C 180;2014-08-01;16900.0;163000.0;Automatik;Benzin;5.0;116.0;156.0;0.1;8.85;1637.91;2146.86;True;Autoscout24.de;9.735128070758227;0.0953101798043248;4.762173934797756;7.672227276595896;10.427397260273972
88;88;Volkswagen;Caddy;2013-02-01;6880.0;139785.0;Schaltgetriebe;Diesel;5.6;147.0;75.0;0.05;9.239999999999998;1710.09;2720.6;True;Autoscout24.de;8.83651926920248;0.048790164169432;4.997212273764115;7.908975221641597;11.923287671232877
89;89;BMW;116;2010-03-01;4700.0;107969.0;Schaltgetriebe;Benzin;6.1;143.0;122.0;0.04;10.797;1998.25;2646.57;True;Autoscout24.de;8.45553053102413;0.0392207131532812;4.969813299576001;7.881397517163801;14.849315068493151
90;90;Volkswagen;Scirocco;2014-02-01;9250.0;171043.0;Automatik;Diesel;4.9;129.0;140.0;0.05;8.085;1496.33;2387.46;True;Autoscout24.de;9.132486932771318;0.048790164169432;4.867534450455582;7.778404085777497;10.923287671232877
91;91;Audi;A3;2014-04-01;12790.0;163877.0;Automatik;Benzin;5.0;116.0;122.0;0.08;8.85;1637.91;2146.86;True;Autoscout24.de;9.456497077599392;0.0769610411361283;4.762173934797756;7.672227276595896;10.761643835616438
