Brand,Model,YearMonth,cleaned_Price,Price_Eval,Kilometer,Gear_Type,Fuel_Type,Consumption,CO2_g_km,Power_PS,source
Skoda,Superb,2017.0,21.149,,118300.0,Automatik,Diesel,7.0,186.0,150.0,Auto.de
Mercedes-Benz,E 400,2017.0,29.149,,133000.0,Automatik,Benzin,8.0,180.0,333.0,Auto.de
Renault,Clio,2017.0,11.049,,117135.0,Schaltgetriebe,Benzin,4.0,120.0,118.0,Auto.de
Ford,Ranger,2017.0,30.649,,148731.0,Automatik,Diesel,7.0,186.0,200.0,Auto.de
Seat,Ibiza,2017.0,11.749,,77318.0,Schaltgetriebe,Benzin,8.0,185.0,75.0,Auto.de
Volkswagen,T6 SONSTIGE,2017.0,35.049,,128500.0,Automatik,Diesel,8.0,178.0,204.0,Auto.de
Renault,ZOE,2017.0,9.249,,103000.0,Automatik,Elektro,,0.0,58.0,Auto.de
Hyundai,Tucson,2017.0,17.049,,60830.0,Schaltgetriebe,Benzin,8.0,185.0,132.0,Auto.de
Dacia,Logan,2017.0,12.549,,83000.0,Schaltgetriebe,Benzin,3.0,125.0,90.0,Auto.de
Audi,Q5,2017.0,34.849,,93093.0,Automatik,Diesel,7.0,138.0,190.0,Auto.de
Citroen,C4 Cactus,2017.0,9.849,,81010.0,Schaltgetriebe,Benzin,8.0,185.0,82.0,Auto.de
Mercedes-Benz,GLC 350,2017.0,35.449,,82131.0,Automatik,Diesel,7.0,161.0,258.0,Auto.de
Mercedes-Benz,V 250,2017.0,51.349,,106376.0,Automatik,Diesel,7.0,186.0,190.0,Auto.de
Nissan,Qashqai,2017.0,21.149,,74000.0,Schaltgetriebe,Benzin,8.0,185.0,163.0,Auto.de
Renault,ZOE,2017.0,10.149,,54500.0,Automatik,Elektro,,0.0,58.0,Auto.de
Kia,Sportage,2017.0,16.549,,116144.0,Schaltgetriebe,Diesel,7.0,186.0,136.0,Auto.de
BMW,X6,2017.0,52.449,,56835.0,Automatik,Diesel,7.0,186.0,381.0,Auto.de
Skoda,Yeti,2017.0,12.049,,126700.0,Automatik,Benzin,8.0,185.0,110.0,Auto.de
Opel,Mokka X,2017.0,15.049,,37500.0,Schaltgetriebe,Benzin,8.0,185.0,116.0,Auto.de
Audi,A3,2017.0,21.149,,94000.0,Automatik,Benzin,8.0,185.0,150.0,Auto.de
Volkswagen,Tiguan,2017.0,18.849,,32500.0,Schaltgetriebe,Benzin,8.0,185.0,125.0,Auto.de
BMW,X1,2017.0,19.049,,101500.0,Automatik,Benzin,8.0,185.0,192.0,Auto.de
Volkswagen,up!,2017.0,7.749,,113000.0,Schaltgetriebe,Benzin,8.0,185.0,60.0,Auto.de
Chevrolet,Camaro,2017.0,54.449,,25112.0,Automatik,Benzin,8.0,185.0,453.0,Auto.de
Renault,ZOE,2017.0,9.849,,77600.0,Automatik,Elektro,,0.0,58.0,Auto.de
Abarth,500,2017.0,13.349,,133580.0,Schaltgetriebe,Benzin,8.0,185.0,160.0,Auto.de
Volkswagen,T6 SONSTIGE,2017.0,21.149,,145000.0,Automatik,Diesel,7.0,186.0,150.0,Auto.de
Jeep,Renegade,2017.0,15.449,,44910.0,Schaltgetriebe,Benzin,8.0,145.0,110.0,Auto.de
Suzuki,SONSTIGE,2017.0,15.349,,42950.0,Automatik,Benzin,5.0,114.0,112.0,Auto.de
Mercedes-Benz,SONSTIGE,2017.0,24.349,,140786.0,Automatik,Diesel,7.0,186.0,143.0,Auto.de
Land Rover,Discovery Sport,2017.0,24.349,,98250.0,Automatik,Diesel,3.0,0.0,180.0,Auto.de
Volkswagen,T6 SONSTIGE,2017.0,23.249,,89500.0,Schaltgetriebe,Diesel,7.0,186.0,102.0,Auto.de
Ford,C-Max,2017.0,15.949,,79631.0,Automatik,Benzin,8.0,185.0,150.0,Auto.de
Opel,Vivaro,2017.0,14.849,,86900.0,Schaltgetriebe,Diesel,7.0,186.0,121.0,Auto.de
Chevrolet,Camaro,2017.0,63.549,,3103.0,Automatik,Benzin,1.0,252.0,453.0,Auto.de
Mercedes-Benz,E 300,2017.0,46.549,,45824.0,Automatik,Benzin,8.0,147.0,245.0,Auto.de
Volkswagen,T6 Multivan,2017.0,45.149,,113270.0,Automatik,Diesel,7.0,186.0,204.0,Auto.de
Mercedes-Benz,GLA 250,2017.0,29.649,,59801.0,Automatik,Benzin,8.0,185.0,211.0,Auto.de
Porsche,991,2017.0,124.349,,61900.0,Automatik,Benzin,8.0,185.0,450.0,Auto.de
Honda,Jazz,2017.0,13.049,,81500.0,Schaltgetriebe,Benzin,5.0,116.0,102.0,Auto.de
BMW,630 Gran Turismo,2017.0,38.149,,143000.0,Automatik,Diesel,9.0,129.0,265.0,Auto.de
Mini,Cooper S Clubman,2017.0,19.449,,100000.0,Automatik,Benzin,9.0,163.0,192.0,Auto.de
Ford,B-Max,2017.0,11.849,,63437.0,Schaltgetriebe,Benzin,8.0,185.0,101.0,Auto.de
Mercedes-Benz,C 63 AMG,2017.0,83.149,,49612.0,Automatik,Benzin,8.0,208.0,510.0,Auto.de
Ford,Fiesta,2017.0,11.249,,50690.0,Schaltgetriebe,Benzin,6.0,105.0,80.0,Auto.de
Opel,Zafira,2017.0,19.149,,88110.0,Automatik,Benzin,6.0,176.0,170.0,Auto.de
Renault,Captur,2017.0,14.149,,60343.0,Automatik,Benzin,8.0,127.0,118.0,Auto.de
Volkswagen,T6 California,2017.0,48.349,,101807.0,Automatik,Diesel,7.0,186.0,204.0,Auto.de
BMW,i3,2017.0,14.349,,110891.0,Automatik,Elektro,,0.0,102.0,Auto.de
Hyundai,i10,2017.0,8.349,,90950.0,Schaltgetriebe,Benzin,7.0,108.0,67.0,Auto.de
BMW,320 Gran Turismo,2017.0,22.849,,100000.0,Automatik,Benzin,4.0,146.0,184.0,Auto.de
Mercedes-Benz,B 200,2017.0,26.449,,49000.0,Automatik,Benzin,8.0,185.0,156.0,Auto.de
Volkswagen,Golf,2017.0,16.449,,118000.0,Automatik,Benzin,8.0,185.0,110.0,Auto.de
Seat,Ateca,2017.0,25.449,,36000.0,Schaltgetriebe,Benzin,4.0,123.0,150.0,Auto.de
Mercedes-Benz,Citan,2017.0,16.749,,47152.0,Schaltgetriebe,Benzin,2.0,140.0,114.0,Auto.de
Volkswagen,Golf,2017.0,21.949,,92170.0,Schaltgetriebe,Benzin,8.0,185.0,245.0,Auto.de
Volkswagen,Caddy,2017.0,15.849,,62000.0,Schaltgetriebe,Erdgas,,96.0,110.0,Auto.de
Audi,A6 allroad quattro,2017.0,25.449,,136336.0,Automatik,Diesel,7.0,149.0,190.0,Auto.de
Smart,ForTwo,2017.0,16.349,,84000.0,Automatik,Benzin,8.0,185.0,90.0,Auto.de
Skoda,Kodiaq,2017.0,28.649,,61676.0,Automatik,Benzin,3.0,168.0,180.0,Auto.de
Skoda,Octavia,2017.0,18.949,,86498.0,Schaltgetriebe,Benzin,3.0,124.0,150.0,Auto.de
Opel,Corsa,2017.0,11.049,,69977.0,Schaltgetriebe,Benzin,2.0,123.0,90.0,Auto.de
Volkswagen,Caddy,2017.0,23.249,,100000.0,Automatik,Diesel,7.0,186.0,102.0,Auto.de
Volkswagen,Golf,2017.0,11.849,,129773.0,Schaltgetriebe,Benzin,2.0,162.0,110.0,Auto.de
Mazda,2,2017.0,12.549,,64000.0,Schaltgetriebe,Benzin,8.0,185.0,90.0,Auto.de
