Unnamed: 0.1;Unnamed: 0;Brand;Model;YearMonth;cleaned_Price;Price_Eval;Kilometer;Gear_Type;Fuel_Type;Consumption;CO2_g_km;Power_PS;Price_per_km;Fuel_Cost_per_100km;Annual_Fuel_Cost;CO2_per_year;CO2_Emission_Category;Marketplace;car_age
1968;1968;Skoda;Kamiq;1-8-2021;23.989;;54670.0;Automatik;Benzin;8.0;185.0;110.0;0.0004387964148527529;14.16;2619.6;3422.5;False;Auto.de;3.652.292.950.034.220
1969;1969;Ford;Puma;1-2-2021;27.089;;24050.0;Schaltgetriebe;Benzin;8.0;185.0;200.0;0.0011263617463617463;14.16;2619.6;3422.5;False;Auto.de;4.147.843.942.505.130
1970;1970;Volkswagen;Polo;1-7-2021;17.689;;18494.0;Schaltgetriebe;Benzin;3.0;120.0;95.0;0.0009564723694171082;53.100.000.000.000.000;9.823.500.000.000.000;2220.0;True;Auto.de;37.371.663.244.353.100
1971;1971;Skoda;Octavia;1-11-2021;26.689;;68489.0;Schaltgetriebe;Diesel;4.0;116.0;150.0;0.0003896830147906963;7.08;1309.8;2146.0;True;Auto.de;340.041.067.761.807
1972;1972;Volkswagen;Golf;1-7-2021;26.489;;92767.0;Automatik;Diesel;7.0;186.0;200.0;0.0002855433505449136;12.39;2292.15;3441.0;False;Auto.de;37.371.663.244.353.100
1973;1973;Ford;Kuga;1-7-2021;31.289;;29485.0;Automatik;Benzin;9.0;136.0;190.0;0.0010611836527047653;15.93;2947.05;2516.0;False;Auto.de;37.371.663.244.353.100
1974;1974;Ford;Tourneo Custom;1-8-2021;42.049;;75317.0;Automatik;Diesel;4.0;221.0;185.0;0.0005582936123318772;7.08;1309.8;4088.5;False;Auto.de;3.652.292.950.034.220
1975;1975;Ford;Tourneo Custom;1-7-2021;42.049;;73991.0;Automatik;Diesel;4.0;221.0;185.0;0.0005682988471570866;7.08;1309.8;4088.5;False;Auto.de;37.371.663.244.353.100
1976;1976;Ford;Tourneo Custom;1-8-2021;42.049;;72547.0;Automatik;Diesel;4.0;221.0;185.0;0.0005796104594263029;7.08;1309.8;4088.5;False;Auto.de;3.652.292.950.034.220
1977;1977;Volkswagen;ID.3;1-12-2021;22.989;;39141.0;Automatik;Elektro;;0.0;204.0;0.0005873380853836131;;;0.0;True;Auto.de;33.182.751.540.041.000
1978;1978;Volkswagen;ID.3;1-11-2021;20.489;;37845.0;Automatik;Elektro;;0.0;150.0;0.0005413925221297397;;;0.0;True;Auto.de;340.041.067.761.807
1979;1979;Skoda;Enyaq iV;1-9-2021;34.289;;21654.0;Automatik;Elektro;;0.0;204.0;0.0015834949662879838;;;0.0;True;Auto.de;3.567.419.575.633.120
1980;1980;Ford;Bronco;1-12-2021;66.989;;25000.0;Automatik;Benzin;8.0;185.0;305.0;0.00267956;14.16;2619.6;3422.5;False;Auto.de;33.182.751.540.041.000
1981;1981;Audi;Q5;1-12-2021;41.789;;116594.0;Automatik;Hybrid (Elektro / Benzin);8.0;85.0;367.0;0.0003584146697085613;14.16;2619.6;1572.5;True;Auto.de;33.182.751.540.041.000
1982;1982;Ford;Tourneo Custom;1-9-2021;41.249;;72547.0;Automatik;Diesel;4.0;0.0;185.0;0.0005685831254221401;7.08;1309.8;0.0;True;Auto.de;3.567.419.575.633.120
1983;1983;Ford;Tourneo Custom;1-9-2021;41.249;;75317.0;Automatik;Diesel;4.0;0.0;185.0;0.0005476718403547672;7.08;1309.8;0.0;True;Auto.de;3.567.419.575.633.120
1984;1984;Volkswagen;SONSTIGE;1-5-2021;29.589;;84463.0;Automatik;Hybrid (Elektro / Benzin);8.0;85.0;218.0;0.0003503190746243917;14.16;2619.6;1572.5;True;Auto.de;39.041.752.224.503.700
1985;1985;Volkswagen;SONSTIGE;1-7-2021;37.589;;95932.0;Automatik;Diesel;7.0;186.0;200.0;0.00039182962932076884;12.39;2292.15;3441.0;False;Auto.de;37.371.663.244.353.100
1986;1986;Ford;Tourneo Custom;1-8-2021;41.249;;73991.0;Automatik;Diesel;4.0;0.0;185.0;0.000557486721358003;7.08;1309.8;0.0;True;Auto.de;3.652.292.950.034.220
1987;1987;Audi;SONSTIGE;1-9-2021;50.689;;52353.0;Automatik;Hybrid (Elektro / Benzin);8.0;85.0;367.0;0.000968215766049701;14.16;2619.6;1572.5;True;Auto.de;3.567.419.575.633.120
1988;1988;Opel;Corsa-e;1-4-2021;17.689;;17529.0;Automatik;Elektro;;0.0;136.0;0.0010091277311883166;;;0.0;True;Auto.de;39.863.107.460.643.300
